25;0.003012
26;0.003663
27;0.004991
28;0.006072
29;0.014570
30;0.016616
31;0.022048
32;0.024570
33;0.057398
34;0.059929
35;0.080528
36;0.095942
37;0.227976
38;0.260207
39;0.353143
40;0.410097
41;0.993916
42;1.143883
43;1.516827
44;1.793145
45;4.521925
46;5.061515
47;6.774849
48;8.030742
49;19.867581
50;23.796322
51;31.000138
52;36.856222
53;92.636437
54;105.742064
55;136.449770
56;165.780142
57;438.631705
58;517.882003
59;690.831820
60;824.295368
61;2072.349541
62;2620.036560
63;3376.014907
64;4203.447376
65;10393.412929
66;13116.468605
67;16707.554633
68;19781.198075
69;50839.279628
70;66866.441253
